"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Bow River North","BRN","2017-02-03","BRN-081","Hardisty","926.2","21.1","2.91","9.9","","0.94","","44.3","96.7","0.16","2.21","4.85","3.91","2.78","2.43","2.05","0.88","0.09","0.2","0.07","0.28","0.08","1.39","3.29","2.8","2.06","1.85","1.6","0.7","0.09","0.19","0.07","0.26","","","","","","","","","","","","",""
"Bow River North","BRN","2017-01-03","BRN-161","Hardisty","926.2","21.1","3.01","11.5","544.5","1.15","12","54.1","111","0.19","2.23","6.57","4.8","3.49","2.99","1.99","0.91","0.13","0.3","0.1","0.37","0.1","1.4","4.46","3.44","2.59","2.28","1.55","0.72","0.12","0.28","0.09","0.35","45.3","109.6","257.7","359.1","427.8","487.7","545.9","613.7","703.8","","","",""
"Bow River North","BRN","2016-12-04","BRN-012","Hardisty","927.2","21","3.31","11.2","","1.08","","47.9","116","0.11","1.99","6.41","4.99","3.36","2.55","1.7","0.78","0.16","0.31","0.07","0.34","0.06","1.25","4.34","3.57","2.49","1.94","1.32","0.62","0.15","0.29","0.07","0.32","45","103.2","256.8","352.6","424.2","484.8","548.9","624","707.5","","","",""
"Bow River North","BRN","2016-11-02","BRN-095","Hardisty","928.2","20.8","3","11.1","","1.09","","48","110","0.15","2.11","5.9","4.65","3.25","2.71","1.99","0.85","0.11","0.2","0.06","0.25","0.08","1.33","3.99","3.32","2.41","2.06","1.55","0.67","0.1","0.19","0.06","0.23","","","","","","","","","","","","",""
"Bow River North","BRN","2016-10-02","BRN-087","Hardisty","930.2","20.5","2.9","10.8","","0.93","","46","100","0.13","2.65","5.15","4.42","3.34","2.9","2.44","1.24","0.12","0.26","0.09","0.32","0.07","1.66","3.48","3.15","2.47","2.2","1.89","0.98","0.11","0.24","0.08","0.3","","","","","","","","","","","","",""
"Bow River North","BRN","2016-09-05","BRN-109","Hardisty","929.2","20.7","3.1","10.9","","1.01","","50","113","0.13","2.53","5.41","4.38","3.16","2.62","1.97","0.92","0.13","0.27","0.07","0.32","0.07","1.59","3.66","3.13","2.34","1.99","1.53","0.73","0.12","0.25","0.07","0.3","42.4","100.4","249.6","351.6","420.3","483.3","542.9","610.3","693.9","","","",""
"Bow River North","BRN","2016-07-03","BRN-164","Hardisty","926.2","21.1","3.23","10.9","","1.06","","54","132","0.13","2.54","6.54","4.7","3.3","2.62","1.93","0.72","0.07","0.1","0.04","0.1","0.07","1.6","4.43","3.37","2.45","2","1.5","0.57","0.07","0.09","0.04","0.09","","","","","","","","","","","","",""
"Bow River North","BRN","2016-06-01","BRN-000","Hardisty","920.6","22.1","3.28","10.2","","1.18","","52","131","0.11","2.44","7.08","4.61","3.12","2.4","1.75","0.82","0.07","0.08","0.03","0.11","0.06","1.55","4.83","3.32","2.33","1.84","1.37","0.65","0.07","0.08","0.03","0.1","44.9","101.9","246.1","334.6","403.6","462.2","526.2","597.1","682.3","","","",""
"Bow River North","BRN","2016-05-09","BRN-005","Hardisty","917","22.7","3.06","9.5","","1.2","","47","119","0.17","2.8","6.74","4.6","3.28","2.48","2.07","1.08","0.11","0.23","0.05","0.26","0.09","1.78","4.61","3.33","2.46","1.91","1.63","0.86","0.11","0.22","0.05","0.25","","","","","","","","","","","","",""
"Bow River North","BRN","2016-04-09","BRN-059","Hardisty","920.6","22.1","3.1","10.8","","0.95","","52","117","0.16","2.18","8.01","5.5","3.5","2.61","1.89","0.8","0.14","0.21","0.05","0.24","0.08","1.38","5.47","3.97","2.61","2","1.48","0.64","0.13","0.2","0.05","0.23","","","","","","","","","","","","",""
